Family,Category,SuggestedName,Conflict,ProblemReasons
Victaulic - CTS - Tee-Reducing Tee No 620-625,Pipe Fittings,MHT-ME-FAM-Victaulic-CTS-Tee-Reducing-Tee-No-620-625,,
Victaulic - CTS - Grooved Coupling,Pipe Fittings,MHT-ME-FAM-Victaulic-CTS-Grooved-Coupling,,
MHT_Space Tag,Space Tags,MHT-ME-FAM-Space-Tag,,
M_Tee - Welded - Generic,Pipe Fittings,MHT-ME-FAM-M-Tee-Welded-Generic,,
M_Elbow - Welded - Generic,Pipe Fittings,MHT-ME-FAM-M-Elbow-Welded-Generic,,
Tee - Flanged - CS - PN 40,Pipe Fittings,MHT-ME-FAM-Tee-Flanged-CS-PN-40,,
Elbow - Flanged - CS - PN 40,Pipe Fittings,MHT-ME-FAM-Elbow-Flanged-CS-PN-40,,
MHT_P_RECTANGULAR PANEL TANK,Mechanical Equipment,MHT-ME-MEQ-P-RECTANGULAR-PANEL-TANK,,
P_TMV_ZIP_MODEL_42151_face,Plumbing Fixtures,MHT-PL-PF-P-TMV-ZIP-MODEL-42151-Face,,
MHT_Thermastatic Mixing Valve_Door,Plumbing Fixtures,MHT-PL-PF-Thermastatic-Mixing-Valve-Door,,
Ladder Horizontal Cross,Cable Tray Fittings,MHT-ME-FAM-Ladder-Horizontal-Cross,,
Ladder Horizontal Tee,Cable Tray Fittings,MHT-ME-FAM-Ladder-Horizontal-Tee,,
Ladder Reducer,Cable Tray Fittings,MHT-ME-FAM-Ladder-Reducer,,
Ladder Union,Cable Tray Fittings,MHT-ME-FAM-Ladder-Union,,
Ladder Vertical Inside Bend,Cable Tray Fittings,MHT-ME-FAM-Ladder-Vertical-Inside-Bend,,
Ladder Vertical Outside Bend,Cable Tray Fittings,MHT-ME-FAM-Ladder-Vertical-Outside-Bend,,
MHT_Cable Tray Tag,Cable Tray Tags,MHT-ME-FAM-Cable-Tray-Tag,,
MHT_Data Device Tag,Data Device Tags,MHT-ME-FAM-Data-Device-Tag,,
MHT_Elec Equipment Tag,Electrical Equipment Tags,MHT-ME-FAM-Elec-Equipment-Tag,,
MHT_MATV Type Tag,Communication Device Tags,MHT-ME-FAM-MATV-Tag,,
MHT_Lighting Device Tag,Lighting Device Tags,MHT-ME-FAM-Lighting-Device-Tag,,
