Family,Category,SuggestedName,Conflict,ProblemReasons
"Elbow - Welded - Generic","Pipe Fittings","MHT-ME-FAM-Elbow-Welded-Generic","",""
"Piping System Abbreviation Tag","Pipe Tags","MHT-ME-FAM-System-Abbreviation-Tag","",""
"Duct System Abbreviation Tag","Duct Tags","MHT-ME-DF-Duct-System-Abbreviation-Tag","","missing_shape;missing_fitting;missing_size"
"Transition - Welded - Generic","Pipe Fittings","MHT-ME-FAM-Transition-Welded-Generic","",""
"Floor Drain - Round","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-DN2000-UND","",""
"Expansion Tank - Inline","Mechanical Equipment","MHT-ME-MEQ-Expansion-Tank-Inline","",""
"Urinal - Wall Hung","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-UND-DN93","",""
"Cap - Welded - Generic","Pipe Fittings","MHT-ME-FAM-Welded-Generic-02","",""
"Elbow - Generic","Pipe Fittings","MHT-ME-FAM-Elbow-Generic","",""
"Supply Grille - Perforated - Rectangular Face Rectangular Neck","Air Terminals","MHT-ME-AT-SUPPLY-DN5","",""
"Supply Grille - Double Deflection - Curve Face Rectangular Neck","Air Terminals","MHT-ME-AT-SUPPLY-DN72","",""
"Cross - Generic","Pipe Fittings","MHT-ME-FAM-Cross-Generic","",""
"Cross - Welded - Generic","Pipe Fittings","MHT-ME-FAM-Cross-Welded-Generic","",""
"Inline Pump - Circulator","Mechanical Equipment","MHT-ME-MEQ-Pump-DN3000-UND","",""
"Exhaust Grill","Air Terminals","MHT-ME-AT-EXHAUST-DN5","","missing_shape"
"Mechanical Equipment Set Tag","Mechanical Equipment Set Tags","MHT-ME-FAM-Equipment-Set-Tag","",""
"Area Based Load Tag","Area Based Load Tags","MHT-ME-FAM-Area-Based-Load-Tag","",""
"Sink Vanity-Round","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-DN10-UND","",""
"Toilet-Domestic-3D","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-DN1-UND","",""
"Shower Stall with Seat - Rectangular","Plumbing Fixtures","MHT-PL-PF-Shower-Stall-With-Seat-Rectangular","",""
"Sink Kitchen-Island","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-UND-DN18","",""
"SinkConnection","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-DN15-UND","",""
"Hose Bib","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-UND-DN125","",""
"Ball Valve - 2-6 Inch","Pipe Accessories","MHT-PL-PACC-Ball-Valve-2-6-Inch","",""
